nit,razon_social,supervisor,region,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales,ganancia_perdida,total_activos,total_pasivos,total_patrimonio,ano_de_corte,total_impuestos
800206316,EMPRESA TRANSFORMADORA DE ALUMINIO SAS,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,2511,MANUFACTURA,0.02,0,0.04,0.02,0.01,2022,1985692.4276839998
800206584,COMERCIALIZADORA INTERNACIONAL JEANS S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,LA-ESTRELLA -ANTIOQUIA,1410,MANUFACTURA,0.2,-0.02,0.09,0.08,0.01,2022,12390714.682238001
800206723,CONSTRUCTORA LANDA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4290,CONSTRUCCIÓN,0.03,0,0.04,0.02,0.02,2022,42415171.254237995
800206842,BAKER HUGHES DE COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,910,MINERO,1.13,0.05,0.78,0.27,0.51,2022,42415171.254237995
800206972,ESTACIONES MARTIGO SAS EN REORGANIZACION,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,4731,COMERCIO,0.02,0,0.02,0.01,0.01,2022,23391888.622931
800206973,ESFERD ANDINA S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,SOACHA-CUNDINAMARCA,6613,SERVICIOS,0.03,0.03,0.25,0.04,0.21,2022,42415171.254237995
800207192,SYNTOFARMA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2100,MANUFACTURA,0.1,0.01,0.07,0.05,0.02,2022,42415171.254237995
800207932,CI MULTISERVICIOS DE INGENIERIA 1A S.A.,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BARRANCABERMEJA-SANTANDER,1921,MANUFACTURA,0.18,0.01,0.05,0.02,0.03,2022,1985692.427684
800208146,INVERSIONES ALCABAMA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4111,CONSTRUCCIÓN,0.17,0.01,0.61,0.54,0.07,2022,42415171.254237995
800208210,RCH CONSTRUCTORES ASOCIADOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4290,CONSTRUCCIÓN,0.06,0,0.05,0.02,0.03,2022,42415171.254237995
800208449,GALCO S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,2599,MANUFACTURA,0.02,0,0.01,0.01,0,2022,12390714.682238001
800208660,ATIEMPO SERVICIOS SAS,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,8299,SERVICIOS,0.07,0,0.02,0.01,0.01,2022,23391888.622931004
800208694,TECSER LABORATORIOS SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2023,MANUFACTURA,0.02,0,0.01,0.01,0.01,2022,42415171.254237995
800208785,CONGELADOS AGRICOLAS SA CONGELAGRO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1020,MANUFACTURA,0.32,0.01,0.15,0.06,0.08,2022,42415171.254237995
800208865,OMNILIFE DE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4729,COMERCIO,0.14,0.01,0.06,0.04,0.02,2022,42415171.254237995
800209088,VIPERS LTDA,SUPERVIGILANCIA,Costa Atlántica,CORDOBA,MONTERIA-CORDOBA,8010,SERVICIOS,0.08,0,0.03,0.01,0.02,2022,23391888.622931004
